"articulo_wikipedia","link_completo","links"
"Araceli Damián González","http://cedua.colmex.mx/damian_araceli.html ","http://cedua.colmex.mx/damian_araceli.html "
"Silvia Giorguli Saucedo","http://cedua.colmex.mx/images/PlantaDocente/SilviaGiorguli/CV.pdf ","http://cedua.colmex.mx/images/PlantaDocente/SilviaGiorguli/CV.pdf "
"Brígida García Guzmán","http://cedua.colmex.mx/index.php?option=com_content&view=article&id=92&Itemid=73 ","http://cedua.colmex.mx/index.php?option=com_content&view=article&id=92&Itemid=73 "
"Manuel Ordorica Mellado","http://cedua.colmex.mx/inicio/historia-del-centro.html ","http://cedua.colmex.mx/inicio/historia-del-centro.html "
"Centro de Estudios Demográficos, Urbanos y Ambientales","http://cedua.colmex.mx/inicio/historia-del-centro.html ","http://cedua.colmex.mx/inicio/historia-del-centro.html "
"Usuario discusión:NZF/Archivo 5","http://cedua.colmex.mx/inicio/historia-del-centro.html ","http://cedua.colmex.mx/inicio/historia-del-centro.html "
"Usuario discusión:Aarón/2015","http://cedua.colmex.mx/inicio/historia-del-centro.html ","http://cedua.colmex.mx/inicio/historia-del-centro.html "
"Manuel Ángel Castillo","http://cedua.colmex.mx/publicaciones/estudios-demograficos-y-urbanos%7C ","http://cedua.colmex.mx/publicaciones/estudios-demograficos-y-urbanos%7C "
"Silvia Giorguli Saucedo","http://cedua.colmex.mx/silvia-giorguli-cv.html ","http://cedua.colmex.mx/silvia-giorguli-cv.html "
"Gustavo Garza Villarreal","http://cedua.colmex.mx/viejo/index.php/planta-docente-y-de-investigacion/98 ","http://cedua.colmex.mx/viejo/index.php/planta-docente-y-de-investigacion/98 "
"Manuel Ángel Castillo","http://cedua.colmex.mx/viejo/index.php/planta-docente-y-de-investigacion/90 ","http://cedua.colmex.mx/viejo/index.php/planta-docente-y-de-investigacion/90 "
"El Colegio de México","http://cee.colmex.mx/cee ","http://cee.colmex.mx/cee "
"Juan Vitores de Velasco","http://cee.colmex.mx/documentos/documentos-de-trabajo/2001/dt200110.pdf ","http://cee.colmex.mx/documentos/documentos-de-trabajo/2001/dt200110.pdf "
"Gustavo Díaz Ordaz","http://cee.colmex.mx/documentos/documentos-de-trabajo/2003/dt20033.pdf ","http://cee.colmex.mx/documentos/documentos-de-trabajo/2003/dt20033.pdf "
"Gerardo Esquivel (economista)","http://cee.colmex.mx/gerardo-esquivel ","http://cee.colmex.mx/gerardo-esquivel "
"Gerardo Esquivel (economista)","http://cee.colmex.mx/gerardo-esquivel/publicaciones ","http://cee.colmex.mx/gerardo-esquivel/publicaciones "
"Silvio Zavala","http://ceh.colmex.mx/ ","http://ceh.colmex.mx/ "
"Historia de Yucatán","http://ceh.colmex.mx/cmch/Tesis-Web/Pdfs/HISTORIA%20REGIONAL%20DE%20YUCATAN.pdf ","http://ceh.colmex.mx/cmch/Tesis-Web/Pdfs/HISTORIA%20REGIONAL%20DE%20YUCATAN.pdf "
"Discusión:Historia de Yucatán","http://ceh.colmex.mx/cmch/Tesis-Web/Pdfs/HISTORIA%20REGIONAL%20DE%20YUCATAN.pdf ","http://ceh.colmex.mx/cmch/Tesis-Web/Pdfs/HISTORIA%20REGIONAL%20DE%20YUCATAN.pdf "
"Bernardo García Martínez","http://ceh.colmex.mx/investigadores/bernardo_garcia_martinez.htm ","http://ceh.colmex.mx/investigadores/bernardo_garcia_martinez.htm "
"Usuario discusión:Sarumo74","http://ceh.colmex.mx/investigadores/bernardo_garcia_martinez.htm ","http://ceh.colmex.mx/investigadores/bernardo_garcia_martinez.htm "
"Moisés González Navarro","http://ceh.colmex.mx/investigadores/gonzalez.htm ","http://ceh.colmex.mx/investigadores/gonzalez.htm "
